16:54:43.006974735 : vetrnik/tele/power_board/last5m 1
16:54:43.007299196 : vetrnik/tele/control/contactor 4
16:54:43.500938237 : vetrnik/tele/power_board/power 0.0
16:54:43.501260938 : vetrnik/tele/power_board/time 1203
16:54:43.501522252 : vetrnik/tele/power_board/voltage 10.3
16:54:43.501841842 : vetrnik/tele/power_board/current 0.000
16:54:43.502134637 : vetrnik/tele/stats/energy_Ws 1
16:54:44.002142397 : vetrnik/cmnd/control/contactor 1
16:54:44.003641518 : vetrnik/cmnd/power_board/duty 255
16:54:44.003773813 : vetrnik/tele/control/contactor 5
16:54:44.005935744 : vetrnik/tele/control/contactor 4
16:54:44.501598976 : vetrnik/tele/power_board/power 0.0
16:54:44.501802178 : vetrnik/tele/power_board/time 1204
16:54:44.502029177 : vetrnik/tele/power_board/voltage 10.5
16:54:45.002550953 : vetrnik/cmnd/control/contactor 1
16:54:45.004525904 : vetrnik/cmnd/power_board/duty 255
16:54:45.004654384 : vetrnik/tele/control/contactor 5
16:54:45.006356652 : vetrnik/tele/control/contactor 4
16:54:45.500879168 : vetrnik/tele/power_board/time 1205
16:54:46.002158958 : vetrnik/cmnd/control/contactor 1
16:54:46.003608189 : vetrnik/cmnd/power_board/duty 255
16:54:46.003853762 : vetrnik/tele/control/contactor 5
16:54:46.005869268 : vetrnik/tele/control/contactor 4
16:54:46.501315075 : vetrnik/tele/power_board/time 1206
16:54:47.002754215 : vetrnik/cmnd/control/contactor 1
16:54:47.004656203 : vetrnik/tele/control/contactor 5
16:54:47.004768444 : vetrnik/cmnd/power_board/duty 255
16:54:47.006328471 : vetrnik/tele/control/contactor 4
16:54:47.501864537 : vetrnik/tele/power_board/power 0.4
16:54:47.502086591 : vetrnik/tele/power_board/time 1207
16:54:47.502473236 : vetrnik/tele/power_board/voltage 10.0
16:54:47.502767975 : vetrnik/tele/power_board/current 0.041
16:54:48.002641885 : vetrnik/tele/power_board/power 1.6
16:54:48.002826680 : vetrnik/cmnd/control/contactor 1
16:54:48.002972864 : vetrnik/tele/power_board/voltage 9.9
16:54:48.003429528 : vetrnik/tele/power_board/current 0.164
16:54:48.005186628 : vetrnik/tele/control/contactor 5
16:54:48.005482348 : vetrnik/cmnd/power_board/duty 255
16:54:48.005748013 : vetrnik/tele/control/contactor 4
16:54:48.502366276 : vetrnik/tele/power_board/power 2.4
16:54:48.502626497 : vetrnik/tele/power_board/time 1208
16:54:48.502902717 : vetrnik/tele/power_board/current 0.246
16:54:49.001824632 : vetrnik/tele/power_board/power 3.2
16:54:49.002069945 : vetrnik/tele/power_board/current 0.328
16:54:49.002422314 : vetrnik/tele/stats/energy_Ws 2
16:54:49.002918070 : vetrnik/cmnd/control/contactor 1
16:54:49.004568782 : vetrnik/tele/control/contactor 5
16:54:49.005572257 : vetrnik/cmnd/power_board/duty 255
16:54:49.005787478 : vetrnik/tele/control/contactor 4
16:54:49.502951959 : vetrnik/tele/power_board/power 4.0
16:54:49.504799411 : vetrnik/tele/power_board/time 1209
16:54:49.504935225 : vetrnik/tele/power_board/current 0.410
16:54:49.504976224 : vetrnik/tele/stats/energy_Ws 3
16:54:50.002118984 : vetrnik/cmnd/control/contactor 1
16:54:50.002281316 : vetrnik/tele/power_board/power 4.4
16:54:50.002579277 : vetrnik/tele/power_board/current 0.451
16:54:50.002935479 : vetrnik/tele/stats/energy_Ws 5
16:54:50.003627659 : vetrnik/cmnd/power_board/duty 255
16:54:50.004702005 : vetrnik/tele/control/contactor 5
16:54:50.006766825 : vetrnik/tele/control/contactor 4
16:54:50.502201650 : vetrnik/tele/power_board/power 5.2
16:54:50.502468760 : vetrnik/tele/power_board/time 1210
16:54:50.502745610 : vetrnik/tele/power_board/current 0.533
16:54:50.502939664 : vetrnik/tele/stats/energy_Ws 7
16:54:51.001639710 : vetrnik/tele/power_board/power 6.0
16:54:51.001871523 : vetrnik/tele/power_board/current 0.615
16:54:51.001991838 : vetrnik/cmnd/control/contactor 1
16:54:51.002214744 : vetrnik/tele/stats/energy_Ws 9
16:54:51.003575809 : vetrnik/cmnd/power_board/duty 255
16:54:51.004163157 : vetrnik/tele/control/contactor 5
16:54:51.006673660 : vetrnik/tele/control/contactor 4
16:54:51.502555057 : vetrnik/tele/power_board/power 6.4
16:54:51.502752500 : vetrnik/tele/power_board/time 1211
16:54:51.503044257 : vetrnik/tele/power_board/current 0.656
16:54:51.503343422 : vetrnik/tele/stats/energy_Ws 12
16:54:52.002065634 : vetrnik/tele/power_board/power 7.3
16:54:52.002375521 : vetrnik/cmnd/control/contactor 1
16:54:52.002408762 : vetrnik/tele/power_board/current 0.738
16:54:52.002620835 : vetrnik/tele/stats/energy_Ws 15
16:54:52.003588440 : vetrnik/cmnd/power_board/duty 255
16:54:52.004510027 : vetrnik/tele/control/contactor 5
16:54:52.006594106 : vetrnik/tele/control/contactor 4
16:54:52.502116579 : vetrnik/tele/power_board/power 8.1
16:54:52.502353078 : vetrnik/tele/power_board/time 1212
16:54:52.502490558 : vetrnik/tele/power_board/current 0.820
16:54:52.502892852 : vetrnik/tele/stats/energy_Ws 18
16:54:53.004756508 : vetrnik/tele/power_board/power 8.3
16:54:53.004927062 : vetrnik/tele/power_board/voltage 9.7
