17:48:00.109219480 : vetrnik/tele/stats/energy_Ws 3205
17:48:00.608886682 : vetrnik/tele/power_board/time 2558
17:48:00.609100588 : vetrnik/tele/stats/energy_Ws 3206
17:48:01.109792081 : vetrnik/tele/stats/energy_Ws 3207
17:48:01.609324969 : vetrnik/tele/power_board/time 2559
17:48:01.609547357 : vetrnik/tele/stats/energy_Ws 3208
17:48:02.109218022 : vetrnik/tele/stats/energy_Ws 3209
17:48:02.608674004 : vetrnik/tele/power_board/time 2560
17:48:02.608911502 : vetrnik/tele/stats/energy_Ws 3210
17:48:02.953104479 : vetrnik/cmnd/control/contactor 1
17:48:02.954287120 : vetrnik/tele/control/contactor 5
17:48:02.954732951 : vetrnik/cmnd/power_board/duty 10
17:48:02.954963227 : vetrnik/tele/control/contactor 4
17:48:03.110725451 : vetrnik/tele/power_board/duty 10
17:48:03.110982413 : vetrnik/tele/stats/energy_Ws 3211
17:48:03.610086822 : vetrnik/tele/power_board/power 2.6
17:48:03.610294339 : vetrnik/tele/power_board/time 2561
17:48:03.610628800 : vetrnik/tele/power_board/current 0.246
17:48:03.611123390 : vetrnik/tele/stats/energy_Ws 3212
17:48:04.110016264 : vetrnik/tele/stats/energy_Ws 3213
17:48:04.610764590 : vetrnik/tele/power_board/time 2562
17:48:04.611013051 : vetrnik/tele/stats/energy_Ws 3214
17:48:05.110565514 : vetrnik/tele/stats/energy_Ws 3215
17:48:05.610310253 : vetrnik/tele/power_board/time 2563
17:48:05.610478567 : vetrnik/tele/stats/energy_Ws 3216
17:48:06.109870067 : vetrnik/tele/stats/energy_Ws 3217
17:48:06.610637097 : vetrnik/tele/power_board/time 2564
17:48:06.610903614 : vetrnik/tele/stats/energy_Ws 3218
17:48:07.110113560 : vetrnik/tele/stats/energy_Ws 3219
17:48:07.610018298 : vetrnik/tele/power_board/time 2565
17:48:07.610241056 : vetrnik/tele/stats/energy_Ws 3220
17:48:08.110745698 : vetrnik/tele/stats/energy_Ws 3221
17:48:08.610361364 : vetrnik/tele/power_board/time 2566
17:48:08.610586307 : vetrnik/tele/stats/energy_Ws 3222
17:48:09.109920049 : vetrnik/tele/stats/energy_Ws 3223
17:48:09.609737621 : vetrnik/tele/power_board/time 2567
17:48:09.609868287 : vetrnik/tele/stats/energy_Ws 3224
17:48:10.110635780 : vetrnik/tele/stats/energy_Ws 3225
17:48:10.610124928 : vetrnik/tele/power_board/time 2568
17:48:10.610279427 : vetrnik/tele/stats/energy_Ws 3226
17:48:11.110068314 : vetrnik/tele/stats/energy_Ws 3227
17:48:11.610750659 : vetrnik/tele/power_board/time 2569
17:48:11.610935177 : vetrnik/tele/stats/energy_Ws 3228
17:48:12.110522473 : vetrnik/tele/stats/energy_Ws 3229
17:48:12.610407582 : vetrnik/tele/power_board/time 2570
17:48:12.610648766 : vetrnik/tele/stats/energy_Ws 3230
17:48:12.829971539 : vetrnik/cmnd/control/contactor 1
17:48:12.831851268 : vetrnik/tele/control/contactor 5
17:48:12.832493802 : vetrnik/tele/control/contactor 4
17:48:12.833323074 : vetrnik/cmnd/power_board/duty 12
17:48:13.109950637 : vetrnik/tele/power_board/power 3.0
17:48:13.110199673 : vetrnik/tele/power_board/duty 12
17:48:13.110365505 : vetrnik/tele/power_board/current 0.287
17:48:13.110943613 : vetrnik/tele/stats/energy_Ws 3231
17:48:13.610836796 : vetrnik/tele/power_board/time 2571
17:48:13.611054091 : vetrnik/tele/stats/energy_Ws 3232
17:48:14.110561554 : vetrnik/tele/stats/energy_Ws 3233
17:48:14.610040480 : vetrnik/tele/power_board/time 2572
17:48:14.610266442 : vetrnik/tele/stats/energy_Ws 3234
17:48:15.111008768 : vetrnik/tele/stats/energy_Ws 3235
17:48:15.610440213 : vetrnik/tele/power_board/time 2573
17:48:15.610669768 : vetrnik/tele/stats/energy_Ws 3236
17:48:16.110658080 : vetrnik/tele/stats/energy_Ws 3237
17:48:16.609765527 : vetrnik/tele/power_board/time 2574
17:48:16.610041562 : vetrnik/tele/stats/energy_Ws 3238
17:48:17.110665852 : vetrnik/tele/stats/energy_Ws 3239
17:48:17.610209464 : vetrnik/tele/power_board/time 2575
17:48:17.610440370 : vetrnik/tele/stats/energy_Ws 3240
17:48:18.110105684 : vetrnik/tele/stats/energy_Ws 3241
17:48:18.609858590 : vetrnik/tele/power_board/time 2576
17:48:18.609992738 : vetrnik/tele/stats/energy_Ws 3242
17:48:19.110439640 : vetrnik/tele/stats/energy_Ws 3243
17:48:19.610355638 : vetrnik/tele/power_board/time 2577
17:48:19.610564266 : vetrnik/tele/stats/energy_Ws 3244
17:48:20.109993341 : vetrnik/tele/stats/energy_Ws 3245
17:48:20.610624187 : vetrnik/tele/power_board/time 2578
17:48:20.610874463 : vetrnik/tele/stats/energy_Ws 3246
17:48:21.110546111 : vetrnik/tele/stats/energy_Ws 3247
17:48:21.610009260 : vetrnik/tele/power_board/time 2579
17:48:21.610179203 : vetrnik/tele/stats/energy_Ws 3248
17:48:22.109922443 : vetrnik/tele/stats/energy_Ws 3249
17:48:22.531843459 : vetrnik/cmnd/control/contactor 1
17:48:22.533566875 : vetrnik/cmnd/power_board/duty 15
17:48:22.533819984 : vetrnik/tele/control/contactor 5
17:48:22.535581141 : vetrnik/tele/control/contactor 4
17:48:22.610467308 : vetrnik/tele/power_board/time 2580
17:48:22.610629862 : vetrnik/tele/power_board/duty 15
17:48:22.610995434 : vetrnik/tele/stats/energy_Ws 3250
17:48:23.110429546 : vetrnik/tele/power_board/power 3.9
17:48:23.110623249 : vetrnik/tele/power_board/current 0.369
17:48:23.110973654 : vetrnik/tele/stats/energy_Ws 3251
17:48:23.610091546 : vetrnik/tele/power_board/time 2581
17:48:23.610299378 : vetrnik/tele/stats/energy_Ws 3252
17:48:24.110842132 : vetrnik/tele/stats/energy_Ws 3253
17:48:24.610654871 : vetrnik/tele/power_board/time 2582
17:48:24.610896018 : vetrnik/tele/stats/energy_Ws 3254
17:48:25.110098742 : vetrnik/tele/stats/energy_Ws 3255
17:48:25.609628243 : vetrnik/tele/power_board/time 2583
17:48:25.609811001 : vetrnik/tele/stats/energy_Ws 3256
17:48:26.110461884 : vetrnik/tele/stats/energy_Ws 3257
17:48:26.610458567 : vetrnik/tele/power_board/time 2584
17:48:26.610625084 : vetrnik/tele/stats/energy_Ws 3258
17:48:27.109868790 : vetrnik/tele/stats/energy_Ws 3259
17:48:27.610671932 : vetrnik/tele/power_board/time 2585
17:48:27.610819764 : vetrnik/tele/stats/energy_Ws 3260
17:48:28.110529134 : vetrnik/tele/stats/energy_Ws 3261
17:48:28.610080505 : vetrnik/tele/power_board/time 2586
17:48:28.610250152 : vetrnik/tele/stats/energy_Ws 3262
17:48:29.109714246 : vetrnik/tele/stats/energy_Ws 3263
17:48:29.610551146 : vetrnik/tele/power_board/time 2587
17:48:29.610743108 : vetrnik/tele/stats/energy_Ws 3264
17:48:30.110444311 : vetrnik/tele/stats/energy_Ws 3265
17:48:30.609841942 : vetrnik/tele/power_board/time 2588
17:48:30.610065478 : vetrnik/tele/stats/energy_Ws 3266
17:48:31.110730009 : vetrnik/tele/stats/energy_Ws 3267
17:48:31.610914061 : vetrnik/tele/power_board/time 2589
17:48:31.611116356 : vetrnik/tele/stats/energy_Ws 3268
17:48:32.110229045 : vetrnik/tele/stats/energy_Ws 3269
17:48:32.254063266 : vetrnik/cmnd/control/contactor 1
17:48:32.255774941 : vetrnik/cmnd/power_board/duty 20
17:48:32.255879144 : vetrnik/tele/control/contactor 5
17:48:32.257752466 : vetrnik/tele/control/contactor 4
17:48:32.609806453 : vetrnik/tele/power_board/power 4.7
17:48:32.609966082 : vetrnik/tele/power_board/time 2590
17:48:32.610209173 : vetrnik/tele/power_board/duty 20
17:48:32.610672355 : vetrnik/tele/power_board/current 0.451
17:48:32.610975779 : vetrnik/tele/stats/energy_Ws 3270
17:48:33.110609279 : vetrnik/tele/power_board/power 5.2
