current [A],voltage [V],measured current [A]
0,0.1063,0
0.5,0.1559,0.41
1,0.2123,0.861
1.5,0.2698,1.353
2,0.3274,1.845
2.5,0.3854,2.337
3,0.4433,2.829
3.5,0.503,3.321
4,0.5609,3.813
4.5,0.6193,4.305
5,0.6774,4.797
