current [A],voltage [V],measured current [A]
0.0,0.1065,0.000
0.5,0.1562,0.410
1.0,0.2131,0.861
1.5,0.2702,1.353
2.0,0.3280,1.845
2.5,0.3858,2.337
3.0,0.4435,2.829
3.5,0.5030,3.321
4.0,0.5611,3.813
4.5,0.6195,4.305
5.0,0.6775,4.797
