17:24:33.355366391 : vetrnik/tele/availability online
17:24:33.355531575 : vetrnik/tele/power_board/valid 1
17:24:33.355558630 : vetrnik/tele/power_board/time 2992
17:24:33.355582926 : vetrnik/tele/power_board/mode 0
17:24:33.355605871 : vetrnik/tele/power_board/duty 0
17:24:33.355628556 : vetrnik/tele/power_board/RPM 0
17:24:33.355651148 : vetrnik/tele/power_board/voltage 0.0
17:24:33.355673611 : vetrnik/tele/power_board/current 0.000
17:24:33.355696129 : vetrnik/tele/power_board/enabled 0
17:24:33.355718740 : vetrnik/tele/power_board/enabled/hardware 1
17:24:33.355741610 : vetrnik/tele/power_board/enabled/software 0
17:24:33.355764092 : vetrnik/tele/power_board/fan 0
17:24:33.355786092 : vetrnik/tele/power_board/error_count 0
17:24:33.355808369 : vetrnik/tele/power_board/emergency 0
17:24:33.355830536 : vetrnik/tele/power_board/OCP_max_duty 255
17:24:33.355852721 : vetrnik/tele/power_board/temperature/heatsink 25.0
17:24:33.355874943 : vetrnik/tele/power_board/temperature/rectifier 26.5
17:24:33.355897165 : vetrnik/tele/power_board/power 0.0
17:24:33.355919369 : vetrnik/tele/power_board/last5m 1
17:24:33.355941405 : vetrnik/tele/control/strategy control_shorted
17:24:33.355963628 : vetrnik/tele/control/contactor 255
17:24:33.355985609 : vetrnik/tele/stats/energy 0.001
17:24:33.356007775 : vetrnik/tele/stats/energy_Ws 1015.7
17:24:33.356029757 : vetrnik/tele/pump 0
17:24:33.356051849 : vetrnik/tele/display/backlight 1
17:24:33.356073849 : vetrnik/cmnd/control/strategy control_MQTT
17:24:33.356096071 : vetrnik/tele/control/strategy control_MQTT
17:24:33.356118293 : vetrnik/cmnd/control/contactor 1
17:24:33.356140349 : vetrnik/tele/control/contactor 5
17:24:33.356162423 : vetrnik/tele/control/contactor 4
17:24:33.356184608 : vetrnik/cmnd/power_board/duty 255
17:24:33.356207996 : vetrnik/cmnd/power_board/sw_enable 1
17:24:33.495433758 : vetrnik/tele/power_board/time 2993
17:24:33.495661424 : vetrnik/tele/power_board/duty 255
17:24:33.495918107 : vetrnik/tele/power_board/enabled 1
17:24:33.496258012 : vetrnik/tele/power_board/enabled/software 1
17:24:33.836526635 : vetrnik/cmnd/power_board/mode start
17:24:33.995206215 : vetrnik/tele/power_board/power 0.4
17:24:33.995425214 : vetrnik/tele/power_board/mode 2
17:24:33.995670990 : vetrnik/tele/power_board/duty 0
17:24:33.995968470 : vetrnik/tele/power_board/voltage 5.7
17:24:33.996324875 : vetrnik/tele/power_board/current 0.082
17:24:34.497898172 : vetrnik/tele/power_board/power 0.3
17:24:34.498058912 : vetrnik/tele/power_board/time 2994
17:24:34.498392391 : vetrnik/tele/power_board/duty 255
17:24:34.498706037 : vetrnik/tele/power_board/voltage 9.7
17:24:34.499059794 : vetrnik/tele/power_board/current 0.041
17:24:34.871385338 : vetrnik/cmnd/control/contactor 1
17:24:34.873889007 : vetrnik/tele/control/contactor 5
17:24:34.873998969 : vetrnik/tele/control/contactor 4
17:24:34.874033025 : vetrnik/cmnd/power_board/duty 255
17:24:34.997758813 : vetrnik/tele/power_board/power 0.4
17:24:34.997936757 : vetrnik/tele/power_board/voltage 9.9
17:24:34.998244866 : vetrnik/tele/stats/energy_Ws 1015.8
17:24:35.498749485 : vetrnik/tele/power_board/power 0.4
17:24:35.498978298 : vetrnik/tele/power_board/time 2995
17:24:35.499183927 : vetrnik/tele/power_board/voltage 10.0
17:24:35.499310111 : vetrnik/tele/stats/energy_Ws 1016.0
17:24:35.997980038 : vetrnik/tele/stats/energy_Ws 1016.2
17:24:36.002150622 : vetrnik/cmnd/control/contactor 1
17:24:36.003681408 : vetrnik/cmnd/power_board/duty 255
17:24:36.004165498 : vetrnik/tele/control/contactor 5
17:24:36.006214318 : vetrnik/tele/control/contactor 4
17:24:36.498884599 : vetrnik/tele/power_board/time 2996
17:24:36.499042061 : vetrnik/tele/stats/energy_Ws 1016.4
17:24:36.998571575 : vetrnik/tele/stats/energy_Ws 1016.5
17:24:37.002280051 : vetrnik/cmnd/control/contactor 1
17:24:37.003708931 : vetrnik/cmnd/power_board/duty 255
17:24:37.004068725 : vetrnik/tele/control/contactor 5
17:24:37.006127804 : vetrnik/tele/control/contactor 4
17:24:37.498102905 : vetrnik/tele/power_board/time 2997
17:24:37.498249515 : vetrnik/tele/stats/energy_Ws 1016.7
17:24:37.999124428 : vetrnik/tele/stats/energy_Ws 1016.9
17:24:38.002946459 : vetrnik/cmnd/control/contactor 1
17:24:38.004890094 : vetrnik/tele/control/contactor 5
17:24:38.005385276 : vetrnik/cmnd/power_board/duty 255
17:24:38.005586979 : vetrnik/tele/control/contactor 4
17:24:38.499044625 : vetrnik/tele/power_board/power 3.6
17:24:38.499600566 : vetrnik/tele/power_board/time 2998
17:24:38.499684825 : vetrnik/tele/power_board/voltage 9.9
17:24:38.499923805 : vetrnik/tele/power_board/current 0.369
17:24:38.499994545 : vetrnik/tele/stats/energy_Ws 1017.1
17:24:38.998558381 : vetrnik/tele/power_board/power 2.0
17:24:38.998839564 : vetrnik/tele/power_board/current 0.205
17:24:38.999039378 : vetrnik/tele/stats/energy_Ws 1018.8
