22:11:30.500823538 : vetrnik/tele/power_board/voltage 22.1
22:11:30.999993981 : vetrnik/tele/power_board/power 0.0
22:11:31.000198498 : vetrnik/tele/power_board/time 1373
22:11:31.000422442 : vetrnik/tele/power_board/voltage 22.2
22:11:31.999646858 : vetrnik/tele/power_board/time 1374
22:11:33.000042544 : vetrnik/tele/power_board/time 1375
22:11:33.499543391 : vetrnik/tele/power_board/power 0.0
22:11:33.499686594 : vetrnik/tele/power_board/voltage 22.4
22:11:33.620544904 : vetrnik/cmnd/control/contactor 1
22:11:33.622406337 : vetrnik/tele/control/contactor 5
22:11:33.622544058 : vetrnik/cmnd/power_board/duty 0
22:11:33.623037574 : vetrnik/tele/control/contactor 4
22:11:34.000368138 : vetrnik/tele/power_board/power 0.9
22:11:34.000574118 : vetrnik/tele/power_board/time 1376
22:11:34.000756117 : vetrnik/tele/power_board/voltage 23.3
22:11:34.001190763 : vetrnik/tele/power_board/current 0.041
22:11:34.499972317 : vetrnik/tele/power_board/power 0.0
22:11:34.500198760 : vetrnik/tele/power_board/voltage 29.1
22:11:34.500445536 : vetrnik/tele/power_board/current 0.000
22:11:34.999834013 : vetrnik/tele/power_board/power 0.0
22:11:35.000029160 : vetrnik/tele/power_board/time 1377
22:11:35.000229196 : vetrnik/tele/power_board/voltage 29.4
22:11:36.000499233 : vetrnik/tele/power_board/power 0.0
22:11:36.000730009 : vetrnik/tele/power_board/time 1378
22:11:36.000912286 : vetrnik/tele/power_board/voltage 29.6
22:11:36.999677275 : vetrnik/tele/power_board/time 1379
22:11:37.999957903 : vetrnik/tele/power_board/time 1380
22:11:38.213210558 : vetrnik/cmnd/control/contactor 1
22:11:38.214729882 : vetrnik/tele/control/contactor 5
22:11:38.215336564 : vetrnik/cmnd/power_board/duty 0
22:11:38.215504804 : vetrnik/tele/control/contactor 4
22:11:39.000579009 : vetrnik/tele/power_board/power 1.2
22:11:39.000741582 : vetrnik/tele/power_board/time 1381
22:11:39.001026673 : vetrnik/tele/power_board/voltage 31.4
22:11:39.001375356 : vetrnik/tele/power_board/current 0.041
22:11:39.500310148 : vetrnik/tele/power_board/power 0.0
22:11:39.500454999 : vetrnik/tele/power_board/voltage 36.4
22:11:39.500767886 : vetrnik/tele/power_board/current 0.000
22:11:40.000059954 : vetrnik/tele/power_board/power 0.0
22:11:40.000275527 : vetrnik/tele/power_board/time 1382
22:11:40.000409452 : vetrnik/tele/power_board/voltage 36.8
22:11:40.999280253 : vetrnik/tele/power_board/time 1383
22:11:41.500047348 : vetrnik/tele/power_board/power 0.0
22:11:41.500226125 : vetrnik/tele/power_board/voltage 36.9
22:11:42.000056281 : vetrnik/tele/power_board/time 1384
22:11:43.000241869 : vetrnik/tele/power_board/time 1385
22:11:43.000387220 : vetrnik/cmnd/control/contactor 1
22:11:43.002151968 : vetrnik/tele/control/contactor 5
22:11:43.002752502 : vetrnik/cmnd/power_board/duty 0
22:11:43.002930408 : vetrnik/tele/control/contactor 4
22:11:43.500020562 : vetrnik/tele/power_board/power 0.0
22:11:43.500170042 : vetrnik/tele/power_board/voltage 41.4
22:11:43.999932291 : vetrnik/tele/power_board/power 0.0
22:11:44.000136790 : vetrnik/tele/power_board/time 1386
22:11:44.000277178 : vetrnik/tele/power_board/voltage 44.7
22:11:44.499269116 : vetrnik/tele/power_board/power 0.0
22:11:44.499465726 : vetrnik/tele/power_board/voltage 45.2
22:11:45.000261024 : vetrnik/tele/power_board/time 1387
22:11:45.499824421 : vetrnik/tele/power_board/power 0.0
22:11:45.500066957 : vetrnik/tele/power_board/voltage 45.0
22:11:45.999541633 : vetrnik/tele/power_board/time 1388
22:11:46.999860382 : vetrnik/tele/power_board/time 1389
22:11:47.598331272 : vetrnik/cmnd/control/contactor 1
22:11:47.599090915 : vetrnik/tele/control/contactor 5
22:11:47.600911275 : vetrnik/tele/control/contactor 4
22:11:47.601045015 : vetrnik/cmnd/power_board/duty 0
22:11:47.999716505 : vetrnik/tele/power_board/time 1390
22:11:48.500380357 : vetrnik/tele/power_board/power 0.0
22:11:48.500581060 : vetrnik/tele/power_board/voltage 50.2
22:11:48.999821569 : vetrnik/tele/power_board/power 0.0
22:11:48.999991364 : vetrnik/tele/power_board/time 1391
22:11:49.000317325 : vetrnik/tele/power_board/voltage 53.0
22:11:49.499494649 : vetrnik/tele/power_board/power 0.0
22:11:49.499690482 : vetrnik/tele/power_board/voltage 53.1
22:11:49.999424173 : vetrnik/tele/power_board/power 0.0
22:11:50.000813127 : vetrnik/tele/power_board/time 1392
22:11:50.000887923 : vetrnik/tele/power_board/voltage 53.3
22:11:50.999532884 : vetrnik/tele/power_board/time 1393
22:11:52.000198202 : vetrnik/tele/power_board/time 1394
22:11:52.264898348 : vetrnik/cmnd/control/contactor 1
22:11:52.266290970 : vetrnik/cmnd/power_board/duty 0
22:11:52.266376284 : vetrnik/tele/control/contactor 5
22:11:52.268389198 : vetrnik/tele/control/contactor 4
22:11:52.999455360 : vetrnik/tele/power_board/power 0.0
22:11:52.999661711 : vetrnik/tele/power_board/time 1395
22:11:52.999953265 : vetrnik/tele/power_board/voltage 59.1
22:11:53.499307290 : vetrnik/tele/power_board/power 0.0
22:11:53.499677399 : vetrnik/tele/power_board/voltage 60.5
22:11:54.000003363 : vetrnik/tele/power_board/power 0.0
22:11:54.000227936 : vetrnik/tele/power_board/time 1396
22:11:54.000396027 : vetrnik/tele/power_board/voltage 60.8
22:11:54.999707981 : vetrnik/tele/power_board/power 0.0
22:11:55.000721160 : vetrnik/tele/power_board/time 1397
22:11:55.000816604 : vetrnik/tele/power_board/voltage 60.6
22:11:55.500279627 : vetrnik/tele/power_board/power 0.0
22:11:55.500523515 : vetrnik/tele/power_board/voltage 60.8
22:11:56.000134352 : vetrnik/tele/power_board/time 1398
22:11:56.499620098 : vetrnik/tele/power_board/power 0.0
22:11:56.499897337 : vetrnik/tele/power_board/voltage 60.6
22:11:56.857077179 : vetrnik/cmnd/control/contactor 1
22:11:56.858297931 : vetrnik/cmnd/power_board/duty 0
22:11:56.858536522 : vetrnik/tele/control/contactor 5
22:11:56.860696695 : vetrnik/tele/control/contactor 4
22:11:56.999358064 : vetrnik/tele/power_board/time 1399
22:11:57.499986525 : vetrnik/tele/power_board/power 0.0
22:11:57.500170579 : vetrnik/tele/power_board/voltage 67.7
22:11:57.999879397 : vetrnik/tele/power_board/power 0.0
22:11:58.000082173 : vetrnik/tele/power_board/time 1400
22:11:58.000362561 : vetrnik/tele/power_board/voltage 68.6
22:11:58.499523381 : vetrnik/tele/power_board/power 0.0
22:11:58.499748935 : vetrnik/tele/power_board/voltage 68.7
22:11:59.000238063 : vetrnik/tele/power_board/power 0.0
22:11:59.000375007 : vetrnik/tele/power_board/time 1401
22:11:59.000748856 : vetrnik/tele/power_board/voltage 68.9
22:11:59.999886122 : vetrnik/tele/power_board/time 1402
22:12:00.499268829 : vetrnik/tele/power_board/power 0.0
22:12:00.499458143 : vetrnik/tele/power_board/voltage 68.7
22:12:01.000374045 : vetrnik/tele/power_board/time 1403
22:12:01.441523613 : vetrnik/cmnd/control/contactor 1
22:12:01.443073456 : vetrnik/cmnd/power_board/duty 0
22:12:01.443178641 : vetrnik/tele/control/contactor 5
22:12:01.444997426 : vetrnik/tele/control/contactor 4
22:12:01.999637475 : vetrnik/tele/power_board/power 0.0
22:12:01.999834585 : vetrnik/tele/power_board/time 1404
22:12:02.000121379 : vetrnik/tele/power_board/voltage 68.9
22:12:02.500241563 : vetrnik/tele/power_board/power 0.0
22:12:02.500469395 : vetrnik/tele/power_board/voltage 75.3
22:12:03.000161729 : vetrnik/tele/power_board/power 0.0
22:12:03.000351617 : vetrnik/tele/power_board/time 1405
22:12:03.000674634 : vetrnik/tele/power_board/voltage 75.9
22:12:03.999402362 : vetrnik/tele/power_board/power 0.0
22:12:03.999602546 : vetrnik/tele/power_board/time 1406
22:12:03.999882914 : vetrnik/tele/power_board/voltage 76.0
22:12:05.000038577 : vetrnik/tele/power_board/time 1407
22:12:05.999415151 : vetrnik/tele/power_board/time 1408
22:12:06.060375570 : vetrnik/cmnd/control/contactor 1
22:12:06.062904722 : vetrnik/tele/control/contactor 5
22:12:06.063122331 : vetrnik/tele/control/contactor 4
22:12:06.064028141 : vetrnik/cmnd/power_board/duty 0
22:12:06.999993977 : vetrnik/tele/power_board/power 0.0
22:12:07.000188920 : vetrnik/tele/power_board/time 1409
22:12:07.000390141 : vetrnik/tele/power_board/voltage 83.7
22:12:07.499834753 : vetrnik/tele/power_board/power 0.0
22:12:07.500168936 : vetrnik/tele/power_board/voltage 84.2
22:12:08.000375859 : vetrnik/tele/power_board/time 1410
22:12:08.999471080 : vetrnik/tele/power_board/time 1411
22:12:10.002550278 : vetrnik/tele/power_board/time 1412
22:12:10.500149807 : vetrnik/tele/power_board/power 0.0
22:12:10.500384083 : vetrnik/tele/power_board/voltage 84.3
22:12:10.808384841 : vetrnik/cmnd/control/contactor 1
22:12:10.809972147 : vetrnik/cmnd/power_board/duty 0
22:12:10.812281540 : vetrnik/tele/control/contactor 5
22:12:10.814603008 : vetrnik/tele/control/contactor 4
22:12:10.999580825 : vetrnik/tele/power_board/time 1413
22:12:11.999918463 : vetrnik/tele/power_board/power 0.0
22:12:12.000152536 : vetrnik/tele/power_board/time 1414
22:12:12.000662181 : vetrnik/tele/power_board/voltage 91.2
22:12:12.499795663 : vetrnik/tele/power_board/power 0.0
22:12:12.499964384 : vetrnik/tele/power_board/voltage 91.5
22:12:12.999517123 : vetrnik/tele/power_board/time 1415
22:12:13.500264096 : vetrnik/tele/power_board/power 0.0
22:12:13.500477835 : vetrnik/tele/power_board/voltage 91.6
22:12:13.999697020 : vetrnik/tele/power_board/time 1416
22:12:15.000356450 : vetrnik/tele/power_board/time 1417
22:12:15.580666064 : vetrnik/cmnd/control/strategy control_shorted
22:12:15.584204821 : vetrnik/tele/control/strategy control_shorted
22:12:15.584457838 : vetrnik/tele/control/contactor 255
