current [A],voltage [V],measured current [A]
0.0,0.1090,0.000
0.5,0.1554,0.369
1.0,0.2122,0.861
1.5,0.2695,1.353
2.0,0.3273,1.845
2.5,0.3853,2.337
3.0,0.4431,2.829
3.5,0.5026,3.321
4.0,0.5608,3.813
4.5,0.6194,4.305
5.0,0.6776,4.797
