current [A],voltage [V],measured current [A]
0,0.1061,0
0.5,0.1555,0.41
1,0.2122,0.861
1.5,0.2696,1.353
2,0.3275,1.845
2.5,0.3856,2.337
3,0.4435,2.829
3.5,0.5031,3.321
4,0.5611,3.813
4.5,0.6195,4.305
5,0.6777,4.797
