current [A],voltage [V],measured current [A]
0,0.06113,0
0.5,0.08452,0.205
1,0.1288,0.574
1.5,0.1868,1.148
2,0.248,1.763
2.5,0.3073,2.296
3,0.3654,2.788
3.5,0.4251,3.28
4,0.483,3.813
4.5,0.5421,4.223
5,0.6,4.674
