datetime,amplitude,frequencies,RPM1,RPM2,RPM3,RPM4,RPM5
2024-06-30 22:11:04.504892,6.0,92.0,0,0,0,0,0
2024-06-30 22:11:10.369025,6.0,96.0,0,0,0,0,0
2024-06-30 22:11:16.224334,6.0,100.0,0,0,0,0,0
2024-06-30 22:11:22.090254,6.0,104.0,0,0,0,0,0
2024-06-30 22:11:27.952045,6.0,108.0,0,0,0,0,0
2024-06-30 22:11:33.812178,6.0,112.0,0,0,0,0,0
2024-06-30 22:11:39.673299,6.0,116.0,0,0,0,0,0
2024-06-30 22:11:45.537666,6.0,120.0,0,0,0,0,0
2024-06-30 22:11:51.409945,6.0,124.0,0,0,0,0,0
2024-06-30 22:11:57.272823,6.0,128.0,0,0,0,0,0
2024-06-30 22:12:03.140140,6.0,132.0,0,0,0,0,0
2024-06-30 22:12:09.012015,6.0,136.0,0,0,0,0,0
2024-06-30 22:12:14.888253,6.0,140.0,0,0,0,0,0
2024-06-30 22:12:20.748192,6.0,144.0,0,0,0,0,0
2024-06-30 22:12:26.616633,6.0,148.0,0,0,0,0,0
2024-06-30 22:12:32.491482,10.0,1.0,40,9,9,9,9
2024-06-30 22:12:38.558099,10.0,2.0,34,26,19,19,19
2024-06-30 22:12:44.420824,10.0,4.0,39,39,39,39,39
2024-06-30 22:12:50.282358,10.0,6.0,104,60,60,60,60
2024-06-30 22:12:56.154896,10.0,10.0,97,97,97,97,97
2024-06-30 22:13:02.012828,10.0,12.0,119,119,119,119,119
2024-06-30 22:13:07.872170,10.0,15.0,149,149,149,149,149
2024-06-30 22:13:13.746014,10.0,19.0,190,190,190,190,190
2024-06-30 22:13:19.618329,10.0,23.0,229,229,229,229,229
2024-06-30 22:13:25.481783,10.0,28.0,280,280,280,280,280
2024-06-30 22:13:31.350509,10.0,35.0,349,349,349,349,349
2024-06-30 22:13:37.223764,10.0,43.0,427,430,430,430,430
2024-06-30 22:13:43.090453,10.0,53.0,528,528,528,528,528
2024-06-30 22:13:48.954149,10.0,65.0,649,649,649,649,649
2024-06-30 22:13:54.825025,10.0,80.0,799,799,799,799,799
2024-06-30 22:14:00.684879,10.0,84.0,839,839,839,839,836
2024-06-30 22:14:06.545796,10.0,88.0,670,314,197,353,362
2024-06-30 22:14:12.406743,10.0,92.0,294,0,0,0,0
2024-06-30 22:14:18.268509,10.0,96.0,0,0,0,0,0
2024-06-30 22:14:24.128913,10.0,100.0,0,0,0,0,0
2024-06-30 22:14:29.989561,10.0,104.0,0,0,0,0,0
2024-06-30 22:14:35.850710,10.0,108.0,0,0,0,0,0
2024-06-30 22:14:41.716262,10.0,112.0,24,0,0,0,0
2024-06-30 22:14:47.577692,10.0,116.0,0,0,0,0,0
2024-06-30 22:14:53.445057,10.0,120.0,0,0,0,0,0
2024-06-30 22:14:59.308936,10.0,124.0,0,0,0,0,0
2024-06-30 22:15:05.180138,10.0,128.0,0,0,0,0,0
2024-06-30 22:15:11.046523,10.0,132.0,0,0,0,0,0
2024-06-30 22:15:16.911320,10.0,136.0,15,0,0,0,0
2024-06-30 22:15:22.776519,10.0,140.0,0,0,0,0,0
