22:04:01.080674902 : vetrnik/tele/power_board/RPM 200
22:04:01.580433003 : vetrnik/tele/power_board/time 17919
22:04:02.079916921 : vetrnik/tele/power_board/RPM 162
22:04:02.579835910 : vetrnik/tele/power_board/time 17920
22:04:03.078355427 : vetrnik/tele/power_board/RPM 0
22:04:03.578185008 : vetrnik/tele/power_board/time 17921
22:04:04.579069016 : vetrnik/tele/power_board/time 17922
22:04:05.578369589 : vetrnik/tele/power_board/time 17923
22:04:06.578745858 : vetrnik/tele/power_board/time 17924
22:04:07.578959609 : vetrnik/tele/power_board/time 17925
22:04:08.578584252 : vetrnik/tele/power_board/time 17926
22:04:09.577902508 : vetrnik/tele/power_board/time 17927
22:04:10.578174035 : vetrnik/tele/power_board/time 17928
22:04:11.578711041 : vetrnik/tele/power_board/time 17929
22:04:12.577980813 : vetrnik/tele/power_board/time 17930
22:04:13.578714836 : vetrnik/tele/power_board/time 17931
22:04:14.578039292 : vetrnik/tele/power_board/time 17932
22:04:15.578684351 : vetrnik/tele/power_board/time 17933
22:04:16.577655345 : vetrnik/tele/power_board/time 17934
22:04:17.578358458 : vetrnik/tele/power_board/time 17935
22:04:18.577852337 : vetrnik/tele/power_board/time 17936
22:04:19.578090118 : vetrnik/tele/power_board/time 17937
22:04:20.579015376 : vetrnik/tele/power_board/time 17938
22:04:21.577982146 : vetrnik/tele/power_board/time 17939
22:04:22.578235352 : vetrnik/tele/power_board/time 17940
22:04:23.577915338 : vetrnik/tele/power_board/time 17941
22:04:24.578396541 : vetrnik/tele/power_board/time 17942
22:04:25.577970157 : vetrnik/tele/power_board/time 17943
22:04:26.578217712 : vetrnik/tele/power_board/time 17944
22:04:27.578527192 : vetrnik/tele/power_board/time 17945
22:04:28.578106973 : vetrnik/tele/power_board/time 17946
22:04:29.578478044 : vetrnik/tele/power_board/time 17947
22:04:30.577765066 : vetrnik/tele/power_board/time 17948
22:04:31.578387820 : vetrnik/tele/power_board/time 17949
22:04:32.578026172 : vetrnik/tele/power_board/time 17950
22:04:33.578179520 : vetrnik/tele/power_board/time 17951
22:04:34.577416596 : vetrnik/tele/power_board/time 17952
22:04:35.578043330 : vetrnik/tele/power_board/time 17953
22:04:36.578519989 : vetrnik/tele/power_board/time 17954
22:04:37.577972951 : vetrnik/tele/power_board/time 17955
22:04:38.578706237 : vetrnik/tele/power_board/time 17956
22:04:39.577872941 : vetrnik/tele/power_board/time 17957
22:04:40.578357431 : vetrnik/tele/power_board/time 17958
22:04:41.577641725 : vetrnik/tele/power_board/time 17959
22:04:42.577942105 : vetrnik/tele/power_board/time 17960
22:04:43.578462131 : vetrnik/tele/power_board/time 17961
22:04:44.578060144 : vetrnik/tele/power_board/time 17962
22:04:45.578418763 : vetrnik/tele/power_board/time 17963
22:04:46.577919386 : vetrnik/tele/power_board/time 17964
22:04:47.578120745 : vetrnik/tele/power_board/time 17965
22:04:48.577943977 : vetrnik/tele/power_board/time 17966
22:04:49.578319964 : vetrnik/tele/power_board/time 17967
22:04:50.577669586 : vetrnik/tele/power_board/time 17968
22:04:51.577952350 : vetrnik/tele/power_board/time 17969
22:04:52.578472575 : vetrnik/tele/power_board/time 17970
22:04:53.577742030 : vetrnik/tele/power_board/time 17971
22:04:54.578253902 : vetrnik/tele/power_board/time 17972
22:04:55.577904668 : vetrnik/tele/power_board/time 17973
22:04:56.578153263 : vetrnik/tele/power_board/time 17974
22:04:57.577746640 : vetrnik/tele/power_board/time 17975
22:04:58.578294324 : vetrnik/tele/power_board/time 17976
22:04:59.578658621 : vetrnik/tele/power_board/time 17977
22:05:00.578065238 : vetrnik/tele/power_board/time 17978
22:05:01.578828086 : vetrnik/tele/power_board/time 17979
22:05:02.578062740 : vetrnik/tele/power_board/time 17980
22:05:03.578542682 : vetrnik/tele/power_board/time 17981
22:05:04.578002445 : vetrnik/tele/power_board/time 17982
22:05:05.578286202 : vetrnik/tele/power_board/time 17983
22:05:06.577875537 : vetrnik/tele/power_board/time 17984
22:05:07.578655142 : vetrnik/tele/power_board/time 17985
22:05:08.578762343 : vetrnik/tele/power_board/time 17986
22:05:09.578097234 : vetrnik/tele/power_board/time 17987
22:05:10.578232211 : vetrnik/tele/power_board/time 17988
22:05:11.577869432 : vetrnik/tele/power_board/time 17989
22:05:12.578048057 : vetrnik/tele/power_board/time 17990
22:05:13.577402686 : vetrnik/tele/power_board/time 17991
22:05:14.577987067 : vetrnik/tele/power_board/time 17992
22:05:15.578601465 : vetrnik/tele/power_board/time 17993
22:05:16.578017907 : vetrnik/tele/power_board/time 17994
22:05:17.578738489 : vetrnik/tele/power_board/time 17995
22:05:18.578280540 : vetrnik/tele/power_board/time 17996
22:05:19.578420736 : vetrnik/tele/power_board/time 17997
22:05:20.577568567 : vetrnik/tele/power_board/time 17998
22:05:21.578116481 : vetrnik/tele/power_board/time 17999
22:05:22.577403606 : vetrnik/tele/power_board/time 18000
22:05:23.577994000 : vetrnik/tele/power_board/time 18001
22:05:24.578477580 : vetrnik/tele/power_board/time 18002
22:05:25.577831778 : vetrnik/tele/power_board/time 18003
22:05:26.578254894 : vetrnik/tele/power_board/time 18004
22:05:27.577658035 : vetrnik/tele/power_board/time 18005
22:05:28.578216446 : vetrnik/tele/power_board/time 18006
22:05:29.577534493 : vetrnik/tele/power_board/time 18007
22:05:30.577999607 : vetrnik/tele/power_board/time 18008
22:05:31.578461314 : vetrnik/tele/power_board/time 18009
22:05:32.577795008 : vetrnik/tele/power_board/time 18010
22:05:33.578363305 : vetrnik/tele/power_board/time 18011
22:05:34.577778832 : vetrnik/tele/power_board/time 18012
22:05:35.578081463 : vetrnik/tele/power_board/time 18013
22:05:36.577681505 : vetrnik/tele/power_board/time 18014
22:05:37.578026172 : vetrnik/tele/power_board/time 18015
22:05:38.577574937 : vetrnik/tele/power_board/time 18016
22:05:39.577881511 : vetrnik/tele/power_board/time 18017
22:05:40.578445545 : vetrnik/tele/power_board/time 18018
22:05:41.577644551 : vetrnik/tele/power_board/time 18019
22:05:42.578217566 : vetrnik/tele/power_board/time 18020
22:05:43.577565404 : vetrnik/tele/power_board/time 18021
22:05:44.578040807 : vetrnik/tele/power_board/time 18022
22:05:45.577290607 : vetrnik/tele/power_board/time 18023
22:05:46.578207266 : vetrnik/tele/power_board/time 18024
22:05:47.578224783 : vetrnik/tele/power_board/time 18025
22:05:48.577912338 : vetrnik/tele/power_board/time 18026
22:05:49.578128778 : vetrnik/tele/power_board/time 18027
22:05:50.577852332 : vetrnik/tele/power_board/time 18028
22:05:51.578294029 : vetrnik/tele/power_board/time 18029
22:05:52.577748269 : vetrnik/tele/power_board/time 18030
22:05:53.577889300 : vetrnik/tele/power_board/time 18031
22:05:54.577376132 : vetrnik/tele/power_board/time 18032
22:05:55.578380138 : vetrnik/tele/power_board/time 18033
22:05:56.578595186 : vetrnik/tele/power_board/time 18034
22:05:57.577851314 : vetrnik/tele/power_board/time 18035
22:05:58.578073231 : vetrnik/tele/power_board/time 18036
22:05:59.577749559 : vetrnik/tele/power_board/time 18037
22:06:00.578154641 : vetrnik/tele/power_board/time 18038
22:06:01.577310953 : vetrnik/tele/power_board/time 18039
22:06:02.577963107 : vetrnik/tele/power_board/time 18040
22:06:03.578365484 : vetrnik/tele/power_board/time 18041
22:06:04.577735404 : vetrnik/tele/power_board/time 18042
22:06:05.578409593 : vetrnik/tele/power_board/time 18043
22:06:06.577672976 : vetrnik/tele/power_board/time 18044
22:06:07.578103315 : vetrnik/tele/power_board/time 18045
22:06:08.577460400 : vetrnik/tele/power_board/time 18046
22:06:09.578160402 : vetrnik/tele/power_board/time 18047
22:06:10.577340506 : vetrnik/tele/power_board/time 18048
22:06:11.577855601 : vetrnik/tele/power_board/time 18049
22:06:12.578436195 : vetrnik/tele/power_board/time 18050
22:06:13.577736797 : vetrnik/tele/power_board/time 18051
22:06:14.578389908 : vetrnik/tele/power_board/time 18052
22:06:15.577652695 : vetrnik/tele/power_board/time 18053
22:06:16.578088584 : vetrnik/tele/power_board/time 18054
22:06:17.578409493 : vetrnik/tele/power_board/time 18055
22:06:17.578627195 : vetrnik/tele/power_board/RPM 23
22:06:18.079421701 : vetrnik/tele/power_board/RPM 31
22:06:18.579010418 : vetrnik/tele/power_board/time 18056
22:06:19.078957854 : vetrnik/tele/power_board/RPM 26
22:06:19.579693434 : vetrnik/tele/power_board/time 18057
22:06:20.579167791 : vetrnik/tele/power_board/time 18058
22:06:21.078091752 : vetrnik/tele/power_board/RPM 9
22:06:21.578693036 : vetrnik/tele/power_board/time 18059
22:06:22.577687192 : vetrnik/tele/power_board/time 18060
22:06:23.579621736 : vetrnik/tele/power_board/time 18061
22:06:23.579881660 : vetrnik/tele/power_board/RPM 32
22:06:24.079323191 : vetrnik/tele/power_board/RPM 35
22:06:24.578935999 : vetrnik/tele/power_board/time 18062
22:06:25.079182785 : vetrnik/tele/power_board/RPM 26
22:06:25.579156405 : vetrnik/tele/power_board/time 18063
22:06:25.579375792 : vetrnik/tele/power_board/RPM 19
22:06:26.578501519 : vetrnik/tele/power_board/time 18064
22:06:27.578830590 : vetrnik/tele/power_board/time 18065
22:06:28.579407548 : vetrnik/tele/power_board/time 18066
22:06:29.578917586 : vetrnik/tele/power_board/time 18067
22:06:29.579176973 : vetrnik/tele/power_board/RPM 34
22:06:30.078707040 : vetrnik/tele/power_board/RPM 43
22:06:30.579247248 : vetrnik/tele/power_board/time 18068
22:06:30.579571579 : vetrnik/tele/power_board/RPM 39
22:06:31.578731897 : vetrnik/tele/power_board/time 18069
22:06:32.579301779 : vetrnik/tele/power_board/time 18070
22:06:33.578786649 : vetrnik/tele/power_board/time 18071
22:06:34.578884792 : vetrnik/tele/power_board/time 18072
22:06:35.078696726 : vetrnik/tele/power_board/RPM 98
22:06:35.580695776 : vetrnik/tele/power_board/time 18073
22:06:35.580881775 : vetrnik/tele/power_board/RPM 102
22:06:36.079065756 : vetrnik/tele/power_board/RPM 59
22:06:36.579010134 : vetrnik/tele/power_board/time 18074
22:06:37.579204794 : vetrnik/tele/power_board/time 18075
22:06:38.578570699 : vetrnik/tele/power_board/time 18076
22:06:39.579249059 : vetrnik/tele/power_board/time 18077
22:06:40.579024072 : vetrnik/tele/power_board/time 18078
22:06:41.079596945 : vetrnik/tele/power_board/RPM 95
22:06:41.579308434 : vetrnik/tele/power_board/time 18079
22:06:41.579497729 : vetrnik/tele/power_board/RPM 99
22:06:42.578946207 : vetrnik/tele/power_board/time 18080
22:06:43.579139309 : vetrnik/tele/power_board/time 18081
22:06:44.579345077 : vetrnik/tele/power_board/time 18082
22:06:45.579257439 : vetrnik/tele/power_board/time 18083
22:06:46.580616588 : vetrnik/tele/power_board/time 18084
22:06:46.580837716 : vetrnik/tele/power_board/RPM 128
22:06:47.080586852 : vetrnik/tele/power_board/RPM 148
22:06:47.580056804 : vetrnik/tele/power_board/time 18085
22:06:47.580311117 : vetrnik/tele/power_board/RPM 119
22:06:48.583038701 : vetrnik/tele/power_board/time 18086
22:06:49.579644638 : vetrnik/tele/power_board/time 18087
22:06:50.579821664 : vetrnik/tele/power_board/time 18088
22:06:51.580207317 : vetrnik/tele/power_board/time 18089
22:06:52.579549457 : vetrnik/tele/power_board/time 18090
22:06:52.579766938 : vetrnik/tele/power_board/RPM 248
22:06:53.079342407 : vetrnik/tele/power_board/RPM 149
